PDB_ID,CHAIN,SEQ_ID,CAMEO_TARGET_ID,SEQ_URL,PDB_URL,SUBMISSION_DATE,DIFFICULTY,QUATERNARY_STATE,MONOMERIC_MODEL_COUNT,REF_PDB,SEQ_LENGTH,METHOD,RESOLUTION
7ELF,C,7ELF_C,2022-04-09_00000025_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7ELF_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7ELF_C/target.pdb,4/9/22,0,2,44,7elf [C],302,X-RAY DIFFRACTION,2.2
7EQB,A,7EQB_A,2022-04-09_00000027_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7EQB_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7EQB_A/target.pdb,4/9/22,1,2,59,7eqb [A],80,X-RAY DIFFRACTION,2.103
7O0B,A,7O0B_A,2022-04-09_00000063_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7O0B_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7O0B_A/target.pdb,4/9/22,0,0,54,7o0b [A],106,X-RAY DIFFRACTION,2.13
7RAW,A,7RAW_A,2022-04-09_00000143_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7RAW_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7RAW_A/target.pdb,4/9/22,1,0,55,7raw [A],251,X-RAY DIFFRACTION,2.1
7RPY,A,7RPY_A,2022-04-09_00000149_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7RPY_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7RPY_A/target.pdb,4/9/22,1,0,49,7rpy [A],256,X-RAY DIFFRACTION,1.67
7UGH,A,7UGH_A,2022-04-09_00000182_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7UGH_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7UGH_A/target.pdb,4/9/22,0,0,46,7ugh [A],477,X-RAY DIFFRACTION,1.95
7VNA,A,7VNA_A,2022-04-09_00000207_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7VNA_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7VNA_A/target.pdb,4/9/22,0,0,52,7vna [A],120,X-RAY DIFFRACTION,2.597
7W5S,A,7W5S_A,2022-04-09_00000210_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7W5S_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7W5S_A/target.pdb,4/9/22,1,0,42,7w5s [A],320,X-RAY DIFFRACTION,1.76
7WME,A,7WME_A,2022-04-09_00000220_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7WME_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7WME_A/target.pdb,4/9/22,1,0,50,7wme [A],183,X-RAY DIFFRACTION,1.7
7X0D,A,7X0D_A,2022-04-09_00000240_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7X0D_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7X0D_A/target.pdb,4/9/22,0,2,44,7x0d [A],398,X-RAY DIFFRACTION,2.39725
7Z79,B,7Z79_B,2022-04-09_00000253_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-09/7Z79_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.09/7Z79_B/target.pdb,4/9/22,0,2,51,7z79 [B],317,X-RAY DIFFRACTION,2.3
7F0O,B,7F0O_B,2022-04-16_00000050_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-16/7F0O_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.16/7F0O_B/target.pdb,4/16/22,1,2,68,7f0o [B],171,X-RAY DIFFRACTION,2.2
7PC3,A,7PC3_A,2022-04-16_00000118_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-16/7PC3_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.16/7PC3_A/target.pdb,4/16/22,0,1,52,7pc3 [A],417,X-RAY DIFFRACTION,1.95
7PC7,B,7PC7_B,2022-04-16_00000121_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-16/7PC7_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.16/7PC7_B/target.pdb,4/16/22,0,1,62,7pc7 [B],414,X-RAY DIFFRACTION,2.1
7PC9,A,7PC9_A,2022-04-16_00000123_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-16/7PC9_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.16/7PC9_A/target.pdb,4/16/22,0,1,55,7pc9 [A],415,X-RAY DIFFRACTION,2.4
7T7Y,A,7T7Y_A,2022-04-16_00000197_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-16/7T7Y_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.16/7T7Y_A/target.pdb,4/16/22,1,0,65,7t7y [A],154,X-RAY DIFFRACTION,1.81
7ETS,B,7ETS_B,2022-04-23_00000021_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-23/7ETS_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.23/7ETS_B/target.pdb,4/23/22,1,2,59,7ets [B],226,X-RAY DIFFRACTION,2.22
7OD9,C,7OD9_C,2022-04-23_00000059_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-23/7OD9_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.23/7OD9_C/target.pdb,4/23/22,1,1,59,7od9 [C],115,X-RAY DIFFRACTION,2.3
7PXY,A,7PXY_A,2022-04-23_00000070_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-23/7PXY_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.23/7PXY_A/target.pdb,4/23/22,0,0,55,7pxy [A],447,X-RAY DIFFRACTION,1.4
7RPR,A,7RPR_A,2022-04-23_00000103_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-23/7RPR_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.23/7RPR_A/target.pdb,4/23/22,1,0,60,7rpr [A],155,X-RAY DIFFRACTION,1.9
7RPS,A,7RPS_A,2022-04-23_00000104_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-23/7RPS_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.23/7RPS_A/target.pdb,4/23/22,1,0,63,7rps [A],169,X-RAY DIFFRACTION,2.09
7VGM,A,7VGM_A,2022-04-23_00000137_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-23/7VGM_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.23/7VGM_A/target.pdb,4/23/22,1,0,56,7vgm [A],592,X-RAY DIFFRACTION,2.27
7MLA,B,7MLA_B,2022-04-30_00000025_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-30/7MLA_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.30/7MLA_B/target.pdb,4/30/22,1,1,54,7mla [B],34,SOLUTION NMR,0
7OA7,A,7OA7_A,2022-04-30_00000059_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-30/7OA7_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.30/7OA7_A/target.pdb,4/30/22,2,0,62,7oa7 [A],373,X-RAY DIFFRACTION,1.45
7Q4L,A,7Q4L_A,2022-04-30_00000098_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-30/7Q4L_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.30/7Q4L_A/target.pdb,4/30/22,1,0,63,7q4l [A],227,SOLUTION NMR,0
7QAO,A,7QAO_A,2022-04-30_00000102_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-30/7QAO_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.30/7QAO_A/target.pdb,4/30/22,1,0,54,7qao [A],35,SOLUTION NMR,0
7QAP,A,7QAP_A,2022-04-30_00000103_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-30/7QAP_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.30/7QAP_A/target.pdb,4/30/22,1,0,53,7qap [A],35,SOLUTION NMR,0
7QRY,B,7QRY_B,2022-04-30_00000118_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-30/7QRY_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.30/7QRY_B/target.pdb,4/30/22,0,0,56,7qry [B],188,X-RAY DIFFRACTION,2.07
7QS5,A,7QS5_A,2022-04-30_00000125_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-30/7QS5_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.30/7QS5_A/target.pdb,4/30/22,0,0,46,7qs5 [A],180,X-RAY DIFFRACTION,1.65
7YWG,B,7YWG_B,2022-04-30_00000303_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-04-30/7YWG_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.04.30/7YWG_B/target.pdb,4/30/22,0,2,50,7ywg [B],170,X-RAY DIFFRACTION,1.1
7EQH,A,7EQH_A,2022-05-07_00000007_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7EQH_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7EQH_A/target.pdb,5/7/22,0,0,59,7eqh [A],236,X-RAY DIFFRACTION,2.2
7ERN,C,7ERN_C,2022-05-07_00000011_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7ERN_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7ERN_C/target.pdb,5/7/22,0,2,54,7ern [C],284,X-RAY DIFFRACTION,2.05
7F9H,A,7F9H_A,2022-05-07_00000025_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7F9H_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7F9H_A/target.pdb,5/7/22,1,0,59,7f9h [A],90,X-RAY DIFFRACTION,1.78
7MKU,A,7MKU_A,2022-05-07_00000039_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7MKU_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7MKU_A/target.pdb,5/7/22,0,2,62,7mku [A],329,X-RAY DIFFRACTION,2.648
7OPB,D,7OPB_D,2022-05-07_00000054_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7OPB_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7OPB_D/target.pdb,5/7/22,1,1,61,7opb [D],55,X-RAY DIFFRACTION,2.144
7POI,C,7POI_C,2022-05-07_00000069_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7POI_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7POI_C/target.pdb,5/7/22,0,1,62,7poi [C],295,X-RAY DIFFRACTION,2.9
7PRQ,B,7PRQ_B,2022-05-07_00000074_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7PRQ_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7PRQ_B/target.pdb,5/7/22,1,2,61,7prq [B],350,X-RAY DIFFRACTION,2
7PSG,C,7PSG_C,2022-05-07_00000076_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7PSG_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7PSG_C/target.pdb,5/7/22,1,2,59,7psg [C],301,X-RAY DIFFRACTION,1.91
7SO5,H,7SO5_H,2022-05-07_00000112_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7SO5_H/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7SO5_H/target.pdb,5/7/22,0,1,57,7so5 [H],215,X-RAY DIFFRACTION,1.797
7TZE,C,7TZE_C,2022-05-07_00000140_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7TZE_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7TZE_C/target.pdb,5/7/22,1,2,60,7tze [C],232,X-RAY DIFFRACTION,2.12
7TZG,D,7TZG_D,2022-05-07_00000141_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7TZG_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7TZG_D/target.pdb,5/7/22,1,1,66,7tzg [D],408,X-RAY DIFFRACTION,3.71
7Z5P,A,7Z5P_A,2022-05-07_00000180_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-07/7Z5P_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.07/7Z5P_A/target.pdb,5/7/22,0,2,56,7z5p [A],515,X-RAY DIFFRACTION,2.991
7MQ4,A,7MQ4_A,2022-05-14_00000050_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-14/7MQ4_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.14/7MQ4_A/target.pdb,5/14/22,2,0,50,7mq4 [A],95,SOLUTION NMR,0
7MS2,A,7MS2_A,2022-05-14_00000056_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-14/7MS2_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.14/7MS2_A/target.pdb,5/14/22,0,2,49,7ms2 [A],755,X-RAY DIFFRACTION,2.04
7RKC,A,7RKC_A,2022-05-14_00000113_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-14/7RKC_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.14/7RKC_A/target.pdb,5/14/22,1,2,53,7rkc [A],233,X-RAY DIFFRACTION,2.35
7SXB,A,7SXB_A,2022-05-14_00000135_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-14/7SXB_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.14/7SXB_A/target.pdb,5/14/22,2,0,49,7sxb [A],90,SOLUTION NMR,0
7WCJ,A,7WCJ_A,2022-05-14_00000196_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-14/7WCJ_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.14/7WCJ_A/target.pdb,5/14/22,0,0,41,7wcj [A],443,X-RAY DIFFRACTION,2.24
7X8J,A,7X8J_A,2022-05-14_00000213_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-14/7X8J_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.14/7X8J_A/target.pdb,5/14/22,0,0,49,7x8j [A],376,X-RAY DIFFRACTION,2.798
7ZCL,B,7ZCL_B,2022-05-14_00000228_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-14/7ZCL_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.14/7ZCL_B/target.pdb,5/14/22,0,1,51,7zcl [B],227,X-RAY DIFFRACTION,1.95
7ZGF,A,7ZGF_A,2022-05-14_00000230_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-14/7ZGF_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.14/7ZGF_A/target.pdb,5/14/22,0,0,45,7zgf [A],417,X-RAY DIFFRACTION,2.05
7EUS,B,7EUS_B,2022-05-21_00000003_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-21/7EUS_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.21/7EUS_B/target.pdb,5/21/22,1,0,55,7eus [B],333,X-RAY DIFFRACTION,2.3
7QRE,D,7QRE_D,2022-05-21_00000081_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-21/7QRE_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.21/7QRE_D/target.pdb,5/21/22,1,1,56,7qre [D],127,X-RAY DIFFRACTION,2.7
7R1K,A,7R1K_A,2022-05-21_00000091_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-21/7R1K_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.21/7R1K_A/target.pdb,5/21/22,0,0,54,7r1k [A],190,X-RAY DIFFRACTION,1.5
7TVY,B,7TVY_B,2022-05-21_00000139_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-21/7TVY_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.21/7TVY_B/target.pdb,5/21/22,1,0,54,7tvy [B],143,X-RAY DIFFRACTION,1.98
8CU5,A,8CU5_A,2022-05-21_00000199_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-21/8CU5_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.21/8CU5_A/target.pdb,5/21/22,0,0,46,8cu5 [A],194,X-RAY DIFFRACTION,1.85
7EXX,A,7EXX_A,2022-05-28_00000019_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-28/7EXX_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.28/7EXX_A/target.pdb,5/28/22,1,0,40,7exx [A],444,X-RAY DIFFRACTION,2.5
7FAU,B,7FAU_B,2022-05-28_00000028_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-28/7FAU_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.28/7FAU_B/target.pdb,5/28/22,0,1,50,7fau [B],127,X-RAY DIFFRACTION,2.08
7QII,B,7QII_B,2022-05-28_00000126_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-28/7QII_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.28/7QII_B/target.pdb,5/28/22,1,1,57,7qii [B],95,X-RAY DIFFRACTION,3.29
7QWT,A,7QWT_A,2022-05-28_00000130_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-28/7QWT_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.28/7QWT_A/target.pdb,5/28/22,0,2,44,7qwt [A],373,X-RAY DIFFRACTION,3.712
7R24,A,7R24_A,2022-05-28_00000134_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-28/7R24_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.28/7R24_A/target.pdb,5/28/22,1,1,53,7r24 [A],397,X-RAY DIFFRACTION,2.7
7W3R,A,7W3R_A,2022-05-28_00000207_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-28/7W3R_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.28/7W3R_A/target.pdb,5/28/22,0,0,44,7w3r [A],384,X-RAY DIFFRACTION,1.92
7W6B,A,7W6B_A,2022-05-28_00000215_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-28/7W6B_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.28/7W6B_A/target.pdb,5/28/22,1,0,46,7w6b [A],793,X-RAY DIFFRACTION,2.984
8CTR,A,8CTR_A,2022-05-28_00000303_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-05-28/8CTR_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.05.28/8CTR_A/target.pdb,5/28/22,0,0,46,8ctr [A],304,X-RAY DIFFRACTION,1.65
7EZB,A,7EZB_A,2022-06-04_00000014_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7EZB_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7EZB_A/target.pdb,6/4/22,0,2,53,7ezb [A],182,X-RAY DIFFRACTION,1.5
7N45,A,7N45_A,2022-06-04_00000027_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7N45_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7N45_A/target.pdb,6/4/22,1,0,54,7n45 [A],138,SOLUTION NMR,0
7OPT,A,7OPT_A,2022-06-04_00000043_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7OPT_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7OPT_A/target.pdb,6/4/22,0,0,55,7opt [A],328,X-RAY DIFFRACTION,2.02
7PB9,A,7PB9_A,2022-06-04_00000049_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7PB9_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7PB9_A/target.pdb,6/4/22,1,0,54,7pb9 [A],179,X-RAY DIFFRACTION,1.8
7RE5,B,7RE5_B,2022-06-04_00000074_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7RE5_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7RE5_B/target.pdb,6/4/22,0,2,51,7re5 [B],123,X-RAY DIFFRACTION,2.5
7UW7,A,7UW7_A,2022-06-04_00000125_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7UW7_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7UW7_A/target.pdb,6/4/22,0,0,55,7uw7 [A],80,X-RAY DIFFRACTION,1.17
7VQW,A,7VQW_A,2022-06-04_00000141_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7VQW_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7VQW_A/target.pdb,6/4/22,0,0,51,7vqw [A],116,X-RAY DIFFRACTION,2.45
7VRS,A,7VRS_A,2022-06-04_00000144_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7VRS_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7VRS_A/target.pdb,6/4/22,0,1,53,7vrs [A],466,X-RAY DIFFRACTION,2.6
7VTY,A,7VTY_A,2022-06-04_00000148_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7VTY_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7VTY_A/target.pdb,6/4/22,0,0,53,7vty [A],90,X-RAY DIFFRACTION,2.5
7VU4,A,7VU4_A,2022-06-04_00000149_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7VU4_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7VU4_A/target.pdb,6/4/22,0,0,52,7vu4 [A],121,X-RAY DIFFRACTION,1.7
8CSO,C,8CSO_C,2022-06-04_00000181_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/8CSO_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/8CSO_C/target.pdb,6/4/22,0,2,54,8cso [C],236,X-RAY DIFFRACTION,2.6
7F15,B,7F15_B,2022-06-11_00000025_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7F15_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7F15_B/target.pdb,6/11/22,0,1,50,7f15 [B],253,X-RAY DIFFRACTION,2.65
7F4L,D,7F4L_D,2022-06-11_00000035_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7F4L_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7F4L_D/target.pdb,6/11/22,1,1,53,7f4l [D],247,X-RAY DIFFRACTION,2.72
7MNY,D,7MNY_D,2022-06-11_00000072_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7MNY_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7MNY_D/target.pdb,6/11/22,0,1,55,7mny [D],141,X-RAY DIFFRACTION,2.7
7X0F,C,7X0F_C,2022-06-11_00000205_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7X0F_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7X0F_C/target.pdb,6/11/22,1,0,55,7x0f [C],523,X-RAY DIFFRACTION,2.2
7XIF,D,7XIF_D,2022-06-11_00000212_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7XIF_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7XIF_D/target.pdb,6/11/22,0,2,55,7xif [D],309,X-RAY DIFFRACTION,2.14
7F5K,A,7F5K_A,2022-06-18_00000029_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7F5K_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7F5K_A/target.pdb,6/18/22,1,1,77,7f5k [A],200,X-RAY DIFFRACTION,3.00003
7QQA,A,7QQA_A,2022-06-18_00000125_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7QQA_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7QQA_A/target.pdb,6/18/22,0,2,71,7qqa [A],274,X-RAY DIFFRACTION,1.79
7QVB,B,7QVB_B,2022-06-18_00000126_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7QVB_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7QVB_B/target.pdb,6/18/22,1,2,84,7qvb [B],235,X-RAY DIFFRACTION,2.5
7R0R,A,7R0R_A,2022-06-18_00000128_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7R0R_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7R0R_A/target.pdb,6/18/22,1,0,77,7r0r [A],571,SOLUTION NMR,0
7X77,A,7X77_A,2022-06-18_00000232_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7X77_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7X77_A/target.pdb,6/18/22,1,0,71,7x77 [A],378,X-RAY DIFFRACTION,2.2
7ZRO,A,7ZRO_A,2022-06-18_00000269_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7ZRO_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7ZRO_A/target.pdb,6/18/22,2,0,73,7zro [A],40,SOLUTION NMR,0
7PLN,A,7PLN_A,2022-06-25_00000058_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-25/7PLN_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.25/7PLN_A/target.pdb,6/25/22,1,0,76,7pln [A],271,X-RAY DIFFRACTION,3.15
7PP2,A,7PP2_A,2022-06-25_00000059_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-25/7PP2_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.25/7PP2_A/target.pdb,6/25/22,1,1,77,7pp2 [A],606,X-RAY DIFFRACTION,2.69
7TDV,C,7TDV_C,2022-06-25_00000113_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-25/7TDV_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.25/7TDV_C/target.pdb,6/25/22,0,2,73,7tdv [C],449,X-RAY DIFFRACTION,2.92
7OPK,A,7OPK_A,2022-07-02_00000184_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-07-02/7OPK_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.02/7OPK_A/target.pdb,7/2/22,0,0,66,7opk [A],883,X-RAY DIFFRACTION,3
7R9B,A,7R9B_A,2022-07-02_00000229_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-07-02/7R9B_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.02/7R9B_A/target.pdb,7/2/22,0,2,74,7r9b [A],223,X-RAY DIFFRACTION,2.2
7RBP,A,7RBP_A,2022-07-02_00000232_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-07-02/7RBP_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.02/7RBP_A/target.pdb,7/2/22,1,2,74,7rbp [A],336,X-RAY DIFFRACTION,2.1
8CWU,B,8CWU_B,2022-07-02_00000368_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-07-02/8CWU_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.02/8CWU_B/target.pdb,7/2/22,0,1,70,8cwu [B],151,X-RAY DIFFRACTION,1.71